dataset,horizon,model,type,RMSE,MAE,R2,MAPE,time_seconds,status
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,Naive,ML,8.1685,6.214,-0.095,11.2724,0.01,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,Ridge,ML,2.8317,1.5924,0.8684,2.9177,0.02,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,ElasticNet,ML,2.8553,1.5973,0.8662,2.8976,0.03,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,RandomForest,ML,3.7182,1.9514,0.7731,3.3905,12.79,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,ExtraTrees,ML,2.891,1.6521,0.8628,2.9453,1.05,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,KNN,ML,4.2087,2.7245,0.7093,4.8741,1.57,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,CatBoost,ML,3.0747,1.7909,0.8449,3.188,1.6,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,LightGBM,ML,3.2879,1.9433,0.8226,3.4408,1.89,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,XGBoost,ML,5.4901,2.7602,0.5054,4.8212,2.07,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,NGBoost,ML,3.8452,1.9286,0.7574,3.3239,116.41,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,Prophet,ML,7.8778,5.4222,-0.0184,9.5329,6.39,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,SARIMAX,ML,51.8906,50.3802,-43.1872,93.4079,0.41,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,PatchTST,ML,3.6133,2.0211,0.7857,3.693,38.06,SUCCESS
