model,dataset,horizon,fold,RMSE,MAE,MAPE,R2,time_seconds,parameter_count,type,status
Chronos-2,ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,0,4.1743,2.9972,5.4924,0.648,173.44,120000000,Foundation,SUCCESS
Chronos-2,ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,1,4.1462,2.7856,5.1092,0.6033,165.53,120000000,Foundation,SUCCESS
Chronos-2,ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,2,6.8363,4.7696,8.2788,0.3451,166.57,120000000,Foundation,SUCCESS
Chronos-2,ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H5,0,4.8268,3.2083,5.8304,0.5293,167.11,120000000,Foundation,SUCCESS
Chronos-2,ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H5,1,4.8368,3.0301,5.534,0.4601,167.11,120000000,Foundation,SUCCESS
Chronos-2,ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H5,2,7.236,4.9852,8.6161,0.2664,167.35,120000000,Foundation,SUCCESS
Chronos-2,ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,0,5.7374,3.5707,6.4095,0.3349,173.51,120000000,Foundation,SUCCESS
Chronos-2,ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,1,5.6783,3.3571,6.0802,0.2557,178.27,120000000,Foundation,SUCCESS
Chronos-2,ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,2,7.7775,5.2575,9.0411,0.1527,179.13,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,0,1.2818,1.2724,51.5719,-97.9193,209.69,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,1,9.214,1.299,10.2578,-0.0178,213.77,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,2,8.2044,1.5908,55.9905,0.0027,209.7,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,0,1.2818,1.2724,51.5723,-97.9203,211.62,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,1,9.2154,1.2999,10.2851,-0.0182,206.95,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,2,8.2054,1.5942,56.0846,0.0024,208.81,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,0,1.2819,1.2724,51.5743,-97.9447,209.79,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,1,9.2167,1.3007,10.312,-0.0184,208.79,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,2,8.2071,1.5997,56.2415,0.002,211.36,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,0,12.5899,7.4338,1.1001,0.0848,198.32,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,1,22.502,17.4876,2.5858,-0.7079,198.24,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,2,48.0598,38.3543,5.3719,-1.754,196.76,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,0,13.0481,7.6575,1.1329,0.017,193.01,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,1,22.5111,17.5001,2.5876,-0.7091,193.44,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,2,48.0696,38.365,5.3734,-1.7547,196.84,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,0,13.5708,7.8209,1.156,-0.0631,198.88,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,1,22.525,17.5206,2.5906,-0.7112,200.96,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,2,48.0895,38.386,5.3761,-1.756,228.14,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,0,14.7953,12.6737,5.1393,-1.7547,202.72,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,1,30.7134,26.952,10.1046,-2.0479,228.51,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,2,51.1103,47.3871,16.6276,-6.1231,203.76,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,0,14.8692,12.7158,5.1569,-1.7789,207.89,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,1,30.7157,26.9586,10.1071,-2.0513,221.63,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,2,51.1191,47.3996,16.6316,-6.1312,201.73,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,0,14.9605,12.7718,5.1793,-1.8074,209.79,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,1,30.7191,26.9692,10.1113,-2.0568,217.01,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,2,51.1387,47.4258,16.64,-6.1462,219.74,120000000,Foundation,SUCCESS
Chronos-2,Wall_Plug_2_Sensor_power,H1,0,0.2536,0.2521,47.7338,-68.1933,227.45,120000000,Foundation,SUCCESS
